Feature,MannWhitneyU_Statistic,P-value
905,51351.0,0.007632454674756226
187327,49561.0,0.0005126666257292959
80869,55428.0,0.3730214047685325
721785,55428.0,0.3730214047685325
40214,55614.0,0.8768670378710075
40215,55428.0,0.3730214047685325
1660,56861.0,0.5204342818638483
651609,55084.0,0.346921846641738
712124,55166.5,0.26993100350323596
1656,55780.0,0.8147764727530019
654,55428.0,0.3730214047685325
732,55725.0,0.8280617541968205
739,55716.0,0.8681367520257773
239935,56574.5,0.6768325760889243
179636,55428.0,0.3730214047685325
28117,60470.0,0.04941740550533025
328814,64508.0,0.00032856556144398935
908612,54024.5,0.5311022659222576
33037,55165.5,0.26876450402259566
214853,55837.5,0.4841747352791079
105841,48490.0,2.441875328602501e-07
169435,47412.0,0.00038416297219445765
28197,55315.0,0.4318052912158301
1382,53870.0,0.009649451187518678
1383,54617.0,0.19172126154350444
82135,55279.0,0.20663106139244625
354,55428.0,0.3730214047685325
1396,55763.5,0.2645143154552795
47678,53388.0,0.37408275125690027
626929,55257.0,0.8793910550862131
310298,56366.0,0.5611138925605268
387090,56026.0,0.6956256929961487
821,48572.0,0.004992615185354606
28111,56314.0,0.7285989399481239
338188,51687.0,0.0845601413018794
626930,56436.0,0.43214425084348285
817,46110.0,8.030308133705933e-05
290053,55428.0,0.3730214047685325
329854,59014.0,0.11492432592903634
28116,55341.0,0.924795194466242
310297,56627.0,0.5491575953624137
376805,54675.0,0.1582358142430189
46506,58274.5,0.2649858727038147
818,46030.0,0.00012965095095791764
820,55105.0,0.8501041231032226
371601,53201.0,0.3410128765360442
1680,65158.0,6.815148713412673e-05
1683,57332.0,0.1793284060467638
28025,56544.0,0.465266827293658
1681,56009.5,0.8278402865991401
1685,55864.0,0.8286338522061669
28026,57058.5,0.5290863371940673
1689,56079.5,0.7872323061074384
216816,62907.0,0.0029872553660374355
35833,45312.5,3.806323037063286e-05
1322,51128.0,6.586243199413259e-05
53443,54841.5,0.5762440108338336
52584,55428.0,0.3730214047685325
1703,55950.0,0.11381918344540756
118748,55282.0,0.5914999303133193
45851,61616.0,6.628198545967941e-06
199,56582.0,0.28942859667780707
824,55652.0,0.822790304153483
76517,55697.0,0.8816529793999719
197,55614.0,0.8768670378710075
28080,55763.5,0.2645143154552795
37692,55428.0,0.3730214047685325
706435,52509.0,0.14460370576709694
2718,55763.5,0.2645143154552795
43997,54757.0,0.11756383157258064
545,56175.0,0.33339090720088593
67825,55165.5,0.26876450402259566
1639133,54150.5,0.2960910407855384
133448,54044.0,0.14345917805175828
457421,43780.0,1.1608825415492404e-07
208479,34129.0,4.131990555973117e-18
1492,55801.0,0.4382020184221431
89153,54570.5,0.04300418866049433
1535,66169.5,1.8658035307181624e-05
84026,53948.5,0.07281038082075238
1502,56244.0,0.4938847503698648
1547,45743.0,1.2413150104820106e-06
84030,52964.0,0.16961143097062836
29347,50178.0,0.0009819443293424806
457396,55279.0,0.20663106139244625
556261,55243.5,0.5029453175045704
908340,44555.0,2.2294918767000585e-07
2860053,63909.0,1.9961868929230927e-05
29348,61469.0,0.001204328954358458
1512,45207.0,1.5350605526599799e-06
74426,54617.5,0.6998780720828164
147207,54549.0,0.2785277989195194
147206,55763.0,0.7231380763021333
285,55428.0,0.3730214047685325
100884,52526.0,0.054099985216661636
116085,62802.0,0.0035636163114638273
410072,61877.0,0.011264727955359011
33043,67644.0,9.412057012016033e-10
43765,55428.0,0.3730214047685325
161879,55428.0,0.3730214047685325
1727,55394.0,0.6972058322446453
413502,55871.0,0.5038432751191431
84163,54832.0,0.045146306783025114
80866,54981.0,0.07342857270548973
876,54607.0,0.0772771672801864
901,53106.0,0.18201231732112766
457398,56471.5,0.3880479852811315
881,55763.5,0.2645143154552795
218538,58652.0,0.12823940842117892
204038,55428.0,0.3730214047685325
39486,56764.0,0.6341465092484702
88431,64734.0,0.00023944761588532042
163665,55428.0,0.3730214047685325
67780,55465.5,0.7002262840690245
84112,49347.0,0.009015210318665434
502558,55685.0,0.7915843824177234
225324,55614.0,0.8768670378710075
548,54878.0,0.47338009637499034
61645,55786.5,0.7706420346876023
69218,56162.5,0.4369472593927245
550,56313.5,0.5654065947405921
158836,53196.5,0.11555400767247767
399742,55989.0,0.2160768779528376
469613,53688.0,0.24726558226103434
37734,55840.5,0.4791463569119562
1351,53567.0,0.20273657792188104
1352,53399.0,0.07784573250578648
1353,54534.0,0.017581096681449002
658659,55260.0,0.6667354886089878
552396,54232.5,0.24104139892630982
208962,50945.5,0.006955409308957125
562,27973.5,1.6370786072113028e-28
1735,53953.0,0.46491071277276674
39483,59514.0,0.008319348204012542
31971,53492.0,0.044156918439085355
39485,76445.0,1.7213756209401984e-17
39488,66084.5,2.5159635931665025e-05
1736,51820.0,7.441238576709017e-05
39491,67007.0,4.42894615548982e-06
467210,55428.0,0.3730214047685325
39492,70192.5,1.4952955376023812e-09
39496,68961.0,2.9952679308452835e-08
853,72894.0,3.885464371485972e-12
143361,55763.5,0.2645143154552795
1260,55317.0,0.4353356164238763
849,55615.0,0.8735215520696048
850,54779.5,0.289568823517123
851,54869.5,0.10735130225570123
860,54461.0,0.13826141394703553
556263,55428.0,0.3730214047685325
861,52041.0,2.253694230802716e-05
856,52931.0,0.00031884142453053707
2702,55354.0,0.5844173124005748
1379,55428.0,0.7767128377024902
29391,56146.0,0.3209001219573058
84135,57629.0,0.19167823853814447
46124,55341.0,0.8883802880662255
137732,55801.0,0.4382020184221431
726,56264.0,0.6863078850899975
727,55835.0,0.8987948296901187
729,61885.0,0.008876082166080792
249188,55523.5,0.973199352403322
213,55763.5,0.2645143154552795
35818,55950.0,0.11381918344540756
210,55763.5,0.2645143154552795
61171,57510.0,0.4311254567269849
571,54230.0,0.32096411988517337
244366,45857.0,2.388493730867997e-07
2683688,44761.0,1.0127805412645502e-07
2683689,55466.5,0.7027978327587838
658086,52946.0,0.2560386171614003
1579,56849.0,0.039545968047638054
83683,55428.0,0.3730214047685325
1604,55095.0,0.35779810699973413
1605,55615.0,0.8735215520696048
1580,54868.5,0.10685517730272232
1582,57816.0,0.0529556149475532
181675,55428.0,0.3730214047685325
1610,55428.0,0.3730214047685325
47770,54690.0,0.1652735641312958
1584,55043.0,0.6941478965802889
1613,52860.5,0.024363346026247228
1614,55428.0,0.3730214047685325
1596,52823.0,0.04116870661011077
1587,55502.0,0.8411181702532499
147802,54981.0,0.07342857270548973
33959,55850.0,0.6590997349707084
1632,55357.0,0.7311757834064889
1590,55104.0,0.5846352226758946
1598,55506.0,0.9091315262966873
47715,57035.5,0.022485508509424205
1623,54667.0,0.4544905723400692
1599,54248.0,0.2507427118744161
1624,53491.5,0.03931083288263176
1625,55933.5,0.7420886696105777
227945,55130.0,0.12144625239946805
1633,54045.0,0.056396967585345834
1363,55083.0,0.34594363919134286
1358,62015.0,0.0034853456887245847
47671,55581.0,0.9943824611847462
157688,55428.0,0.3730214047685325
33964,55465.5,0.7002262840690245
1251,55428.0,0.3730214047685325
1246,55603.5,0.9622107845891206
1245,55792.0,0.8158954310881046
168384,55465.5,0.7002262840690245
907,48837.5,1.9393914836280547e-05
187326,53856.0,0.12271825217474013
52022,55428.0,0.3730214047685325
2173,60790.0,0.014183582207326892
2317,58534.0,0.007994974617916368
1270,55428.0,0.3730214047685325
52226,50249.5,0.0028664829394943556
2098,55763.5,0.2645143154552795
483,55615.0,0.8735215520696048
495,55428.0,0.3730214047685325
484,55654.0,0.8181151800665736
485,55315.0,0.4318052912158301
487,55134.0,0.4397521058037891
488,55279.0,0.20663106139244625
28449,55690.0,0.7821297776881032
28118,57000.0,0.5684452227426136
1247,55763.5,0.2645143154552795
133926,55464.5,0.6976581672959202
237576,54813.0,0.4391470316299194
608534,55318.0,0.43710700588651297
712414,55096.0,0.3587973887759638
351091,55950.0,0.11381918344540756
847,55832.0,0.8013807670496591
553,55763.5,0.2645143154552795
517433,55763.5,0.2645143154552795
470934,55763.5,0.2645143154552795
823,42788.5,2.9397153302664727e-07
46503,59084.5,0.15837423398840833
454155,54754.0,0.4883026326021318
78258,55093.0,0.35580480417542626
487175,66563.5,5.43467833513335e-06
33033,55206.0,0.39876740332324456
1254,56063.0,0.30062247195312397
1255,54797.0,0.17350764193166412
507750,55130.0,0.12144625239946805
54005,54981.0,0.07342857270548973
33031,55728.0,0.7483087822467073
712430,55763.5,0.2645143154552795
1261,55615.0,0.8735215520696048
341694,55435.0,0.7869781244412071
626940,53708.5,0.3398404101974317
28123,56413.5,0.2435575399015606
281920,56553.0,0.13901171726052775
28125,55432.0,0.8672367334114242
28126,55276.0,0.5839683531366681
28127,56289.5,0.19446993676927615
165179,55741.0,0.9462560060222659
52227,55654.0,0.8181151800665736
28129,55615.0,0.8735215520696048
28130,56155.0,0.5307621440016409
28132,55950.0,0.11381918344540756
310514,55279.0,0.20663106139244625
28133,55802.0,0.4361555378030898
76122,55428.0,0.3730214047685325
386414,57286.0,0.020093358428575743
1747,55279.0,0.20663106139244625
1744,57755.0,0.07784573250578648
584,54502.0,0.08194113748059276
102862,55279.0,0.20663106139244625
158850,55763.5,0.2645143154552795
228,55614.0,0.8768670378710075
234831,55428.0,0.3730214047685325
106588,57615.0,0.4134803240130147
287,52935.0,0.003604233902372144
294,55763.5,0.2645143154552795
47880,55428.0,0.3730214047685325
300,55428.0,0.3730214047685325
303,55428.0,0.3730214047685325
316,51928.5,0.021773449335600756
638849,50706.5,2.998084365668826e-05
34038,55614.0,0.8768670378710075
2703885,55615.0,0.8735215520696048
301301,70829.5,8.128466896830247e-10
166486,56481.0,0.7162383020622194
360807,57896.5,0.35201450883027596
2047,54882.0,0.2922008725214924
43675,57101.0,0.4406153044380351
552398,59049.0,0.16303305042342764
40518,60938.0,0.029369687376747805
1161942,58001.5,4.714399342851655e-05
46228,66277.0,1.6070311111950998e-06
457412,50964.0,0.06449247977877991
657323,63400.0,0.0017113205284095833
54736,55614.0,0.8768670378710075
28901,54758.0,0.3436857441363308
78259,55428.0,0.3730214047685325
671224,55763.5,0.2645143154552795
135083,55763.5,0.2645143154552795
69823,55802.0,0.4361555378030898
28151,55987.0,0.218317178092855
177972,55130.0,0.12144625239946805
102148,54312.0,0.20577346128756213
1280,55387.0,0.6861985653274223
1281,55763.5,0.2645143154552795
29385,55801.0,0.4382020184221431
1292,55763.5,0.2645143154552795
1311,55206.0,0.39876740332324456
1328,54796.0,0.5823865254714686
113107,59251.0,0.08350366568106286
76860,55576.0,0.9994286941342425
45634,53989.0,0.12963652926301097
1317,54755.0,0.11667101600699238
1334,55428.0,0.3730214047685325
1335,54378.0,0.07760656758145013
315405,53090.0,0.022897052675157344
1302,54128.5,0.4151160151047595
102684,53872.0,0.03732903149364656
68892,58902.0,0.11435533971041725
28037,56015.0,0.7999399223848316
1309,51027.0,0.0015145389834439508
1303,55995.0,0.8094674890100955
1318,57340.0,0.4774964235117345
1348,55763.5,0.2645143154552795
68891,55217.0,0.6605525442778832
1313,55508.0,0.9729196868586923
257758,55079.5,0.48814144938686155
1314,55428.0,0.3730214047685325
1304,61169.0,0.02467946863026426
1305,55353.5,0.8917138201018822
435842,53081.0,0.14953045638436743
563037,54618.0,0.19218467221485702
563038,55472.5,0.8900846661009679
712620,55808.0,0.6873480306206013
712630,52151.5,0.0007106388848117812
1308,65886.0,3.4393749919871414e-05
1343,55805.0,0.9179426551257353
214851,57183.0,0.23944497199660109
626938,53519.5,0.011979532886326838
40545,56617.0,0.6349635092380792
28112,55763.5,0.2645143154552795
167,55950.0,0.11381918344540756
2039,55466.5,0.7027978327587838
154288,57286.0,0.1696908166916702
39777,58861.0,0.13200194902604132
39778,58660.0,0.1375686903612555
29466,64663.0,0.00013659776976855317
671228,66506.0,5.351050422998183e-07
671229,55428.0,0.3730214047685325
364317,55428.0,0.3730214047685325
669,55950.0,0.11381918344540756
172901,60220.0,0.025756308186529745
137591,54569.5,0.04279749452686385
1249,55130.0,0.12144625239946805
339,55428.0,0.3730214047685325
384638,58885.0,0.00033054997765200663
261299,80775.0,2.6052530550520168e-28
89152,55614.0,0.8768670378710075
33038,45704.0,1.8094703086760046e-05
40520,67858.0,8.484657352749175e-07
33039,45049.0,2.4443890613616895e-05
2811711,69758.5,1.3108290516000498e-08
245014,70051.0,6.086510792708529e-09
2648384,54981.0,0.5116781398618913
186928,50114.0,0.00013985692196520524
